,course,course_name,course_description,relevance,difficulty,keywords,top_topic_1,top_topic_2,top_topic_3,top_topic_1_contribution,top_topic_2_contribution,top_topic_3_contribution
0,MS7110,History of Materials,"""MS7110: History of Materials,"" coordinated by Asst Prof Tan Kwan Wee, is a dynamic course blending historical insights with modern material sciences. It focuses on the evolution of materials from the Stone Age to present-day innovations, emphasizing their impact on technology, art, and construction. The course uniquely integrates a scientific understanding of materials' properties, spanning polymers, metals, ceramics, and composites.
Key characteristics include:
Historical Perspective: Tracing materials' development through various ages, contextualized with modern scientific knowledge.
Comprehensive Content: Covering various material systems and their applications, limitations, and potentials.
Practical and Theoretical Blend: Through case studies, students apply theoretical knowledge to real-world scenarios.
Diverse Teaching Methods: Including lectures, videos, tutorials, and peer discussions.
Assessment is based on two major case studies. Supplementary readings support the coursework. The course, part of the Master's program, is designed to build foundational knowledge in Materials Science and Engineering, emphasizing both historical context and future potentials.
",4.3,2.9225,"materials history, interdisciplinary, innovation",interdisciplinary, material properties, materials history,0.9873,0.9866,0.9841
1,MS7120, Inorganic Materials,"MS7120: Inorganic Materials is a distinctive course, led by Dr. Feng Xiaolei, designed to provide a comprehensive understanding of descriptive inorganic chemistry for effective technological material design. 
Key characteristics include:
Accessibility and Balance: Tailored for diverse scientific and engineering backgrounds, ensuring a thorough and understandable treatment of inorganic chemistry.
Practical Focus: Systematically explores reactivity, stability, and properties of inorganic compounds, with direct applications to crucial industrial materials.
Practical Skill Development: Equips students to critically assess inorganic compounds, predict properties, and design materials with specific characteristics.
Assessment Rigor: Evaluation through two Continuous Assessments (80% MCQ, 20% Essay) covering modules 1 to 3, ensuring a robust understanding of the subject.
Engaging Teaching Methods: Utilizes a variety of approaches, including lectures, MCQ assessments, tutorials, and peer discussions, enhancing student engagement and understanding.
Essential Reading: Incorporates key works by Tilley and Shriver, focusing on crystals, crystal structures, and ceramic materials.
This course, spanning 39 hours and equivalent to 3 Academic Units, delves into fundamental principles, non-metallic materials (halogens, oxygen group, nitrogen group, carbon, silicon, boron, chalcogenide materials, superhard materials), and metallic materials (alkaline and alkaline earth metals, aluminium, gallium, indium, transition metals, rare earth metals, lanthanide oxide glasses, iron, steel, special steel grades).
",4.4372,2.9314,"inorganic chemistry, crystals, material design",interdisciplinary, industrial applications, inorganic materials,0.9907,0.9811,0.9766
2,MS7130,Organic Materials,"MS7130: Organic Materials is an advanced course, led by Assoc Prof Andrew Grimsdale, delving into the world of organic materials with a focus on functional applications.
Key characteristics include:
Wide Scope of Coverage: Encompassing bulk commodities, bio-inspired materials, cutting-edge substances like graphene, and organic colorants and semiconductors, highlighting their roles in various applications such as biosensors, LED displays, and organic solar cells.
Materials Approach: Adopting a processing-structure-property-performance framework to comprehensively address the structural, optical, and electronic aspects of organic materials.
Practical Learning Objectives: Equipping students to understand, critically analyze, and predict the future directions of organic materials for modern technological applications.
Assessment Rigor: The evaluation includes 3 tutorials (30%), CA1 and CA2 with MCQs (25% each), and a research paper critique through peer review (20%).
Engaging Teaching Methods: Incorporating a mix of lectures, tutorials, and peer discussions to enhance student learning and understanding.
Expert Instruction: Led by Assoc Prof Andrew Grimsdale, a seasoned expert in the field, ensuring students receive quality instruction.
In-Depth Syllabus: Covering fundamental principles, structural organic materials, electronic and optical properties of organic materials, and analytical techniques.
Practical Analysis: Including the study of size exclusion chromatography, thermal methods, spectroscopy, microscopy, X-ray diffraction, and electrical characterization techniques.
This 39-hour course, equivalent to 3 Academic Units, is scheduled for Semester 1, AY2021-22, and does not have any course duplications.
",4.0578,3.5168,"organic materials, functional applications, structural analysis",functional applications, organic materials, interdisciplinary,0.9955,0.9946,0.9765
3,MS7140,Properties of Materials,"MS7140: Properties of Materials,"" led by Thirumany Sritharan, is an intensive course focusing on the key properties of materials - mechanical, thermal, optical, magnetic, and electrical. It covers:
Mechanical Properties: Stress and strain behaviors, hardness, and fracture mechanics.
Optical Properties: Light-material interactions including refraction and absorption.
Magnetic Properties: Magnetic moments and phenomena like ferromagnetism.
Electrical Properties: Electron band structures, conductivity, and piezoelectricity.
The course aims to provide a solid foundation in material properties, crucial for designing advanced engineering systems. Students will learn to measure and recommend materials for specific applications, and understand the underlying reasons for their properties.
Assessment: A mix of individual and group tasks including tests, essays, and learning logs.
Methodology: Lectures, interviews, and peer discussions.
Syllabus Highlights:
Mechanical and thermal properties: From elasticity to thermal stress.
Optical, magnetic, and electrical properties: Understanding photon absorption to superconductivity.
Key Readings: ""Materials Science and Engineering"" by Callister, and supplementary texts by Hertzberg and Livingston.
This course is essential for engineers and scientists aiming to apply material properties in real-world scenarios.
",4.25,3.183,"mechanical behavior, material properties, optical properties, electrical properties",interdisciplinary, material properties, material evaluation,0.9942,0.9665,0.9487
4,MS7210,Processing of Inorganic Materials,"MS7210: Processing of Inorganic Materials,"" taught by Dr. Long Yi, is a specialized course designed to deepen understanding of material processing techniques. It bridges the gap between materials science, mechanical engineering, chemistry, and economics. The course focuses on automated and computer-controlled equipment in commercial processing, emphasizing the underlying scientific principles.
Aims and Objectives:
1. Understand the design and basic concepts of processing routes.
2. Predict material behavior during processing.
3. Determine the structure and properties of end products.
4. Assess the advantages and limitations of each process.
5. Select the best processing method for specific components or materials.
Course Syllabus:
Module 1: Processes for particulate and bulk materials.
Module 2: Vacuum processes.
Module 3: Solution processes.
Assessment: Includes continuous assessment, oral presentations, and review papers, contributing to a total of 100%.
Methodology: Lectures, multiple-choice questions, tutorials, and problem-based learning.
Readings:
Key texts by Ohring, Smith, Mitzi, and Barsoum.
The course, beginning in AY 2018/19 Semester 2, is aimed at students seeking a comprehensive understanding of inorganic material processing, relevant for various engineering applications.
",4.2735,3.2958,"material processing, automated equipment, scientific principles",interdisciplinary, inorganic materials, material processing,0.9953,0.993,0.9613
5,MS7220,Processing and Processability of Organic Materials (Polymers),"MS7220: Processing and Processability of Organic Materials (Polymers),"" coordinated by Prof Hu Xiao and Prof Gad Marom, is an advanced course focusing on the processing techniques of thermoplastic and thermosetting polymeric products. It links intrinsic polymer properties to product performance, emphasizing the effects of fillers and stabilizers.
Aims and Objectives:
1. Link material properties of polymers to manufacturing techniques.
2. Design and assess product properties based on mechanical and physical performance.
3. Understand how processing parameters shape product structures and properties.
4. Delve into the fundamental aspects of polymer properties like phase transitions and viscoelasticity.
5. Explore industrial polymer processing technologies and emerging materials such as nanocomposites and biomimetics.
Assessment: Involves continuous assessments, essays/presentations, and course participation.
Course Syllabus:
Module 1: Introduction to polymers and processability.
Module 2: Processability-dependent properties.
Module 3: Mechanical properties of polymers.
Module 4: Emerging materials and technologies like 3D printing and electrospinning.
Module 5: Guided student-driven teaching and learning.
Module 6: Course closure with reviews and feedback.
Methodology: Includes lectures, Q&A, problem-based self-learning, site visits, and discussions.
Readings:
Principal texts by D.W. van Krevelen, L.H. Sperling, R.J. Young, and P.A. Lovell.
Starting in AY 2019-20, Semester 1, the course is designed for students aiming to integrate polymer science with modern manufacturing processes for diverse applications.

",4.4668,3.05,"Polymer processing, product performance, material properties, industrial applications",polymeric materials, organic materials, material properties,0.9861,0.983,0.9498
6,MS7240,Modelling of Materials,"MS7240: Modelling of Materials,"" overseen by AP Zhao Yang, is a focused course designed to provide an introduction to materials modeling. It's particularly relevant for understanding material properties in scenarios where experiments are not feasible or expensive.
Aims and Objectives:
1. Introduce key computational modelling techniques like continuum methods, atomistic and molecular simulations, and quantum mechanics.
2. Offer insights into fundamental, theoretical, and numerical concepts in materials modeling.
3. Equip students to:
Understand different computational modeling techniques.
Differentiate between Finite Element Method, Molecular Dynamics simulations, and ab-Initio quantum mechanical modeling.
Recognize the role of computational modeling in unveiling the physics behind experimental studies.
Course Syllabus:
Detailed coverage of various computational modeling techniques and their applications in understanding material properties.
Assessment: Includes structured questions, case studies, and continuous assessment (CA), with a total weight of 100%.
Methodology: The course combines lectures, regular tests, and simulations to deliver content effectively.
Readings: A list of supplementary readings and papers will be provided, complementing the lecture content.
Scheduled to start in AY 2018/19 Semester 1, this course is essential for students interested in the theoretical aspects of materials science, particularly in computational modeling techniques.
",3.2443,3.9168,"material modeling, material properties, theoretical concepts, quantum mechanics",material modeling, material properties, theoretical concepts,0.9795,0.9756,0.9221
7,MS7310,Chemical Analysis of Materials,"MS7310: Chemical Analysis of Materials, a 2AU course, offers an in-depth exploration of spectroscopic techniques for chemical analysis. The course emphasizes both surface and bulk analysis of materials.
Aims and Objectives:
Cover fundamental principles, instrumentation, and applications of spectroscopic chemical analysis techniques.
By the course end, students will:
Understand the working principles of IR, UV-VIS, XRF, and XPS.
Analyze data from these spectroscopic techniques.
Recommend suitable techniques for material evaluation with justifications.
Integrate information from multiple datasets to deduce material properties.
Course Syllabus:
1. Introduction to Spectroscopy: Overview and uses in chemical analysis.
2. Infrared Spectroscopy: Molecular vibrations, wavenumber concepts, and applications.
3. Ultraviolet-Visible Spectroscopy: Absorption spectra, Beer-Lambert’s law, and applications.
4. X-ray Fluorescence Spectroscopy: Theoretical principles, instrumentation, and applications.
5. X-ray Photoelectron Spectroscopy: Background principles, data analysis, and applications.
Assessment:
Tutorials: 40% (Individual).
Continuous Assessment (MCQs and short essays): 30% (Individual).
Research paper critique (peer review): 30% (Individual).
Total: 100%.
Teaching Method: The course utilizes lectures, tutorials, and assessments to deliver content.
Course Offering: Scheduled for AY 2020/21 Semester 1, conducted by Dr. Fong Wen Mei Eileen, designed for a class size of 30.
This course is crucial for students seeking to understand and apply spectroscopic techniques in material analysis, integrating theoretical knowledge with practical skills.
",3.9046,3.6595,"chemical analysis, spectroscopy, material evaluation, data integration",chemical analysis, Spectroscopic techniques, interdisciplinary,0.9908,0.988,0.9833
8,MS7320, Physical Analysis of Materials,"MS7320: Physical Analysis of Materials, coordinated by AP Oh Joo Tien, is a 2AU course dedicated to the physical characterization of materials, emphasizing thermal analysis and surface analysis techniques.
Aims and Objectives:
Introduce advanced characterization techniques for analyzing thermal and surface properties of materials.
Enable students to select and evaluate physical characterization techniques for material performance investigation.
Guide students in developing laboratory facilities for thermal and surface analysis.
Course Syllabus:
Module 1: Thermal Analysis of Materials: Covers thermal analysis principles, thermogravimetry, differential thermal analysis (DTA), differential scanning calorimetry (DSC), and applications.
Module 2: Surface Analysis of Materials: Focuses on X-ray Photoelectron Spectroscopy (XPS), Auger Electron Spectroscopy (AES), and other surface analysis techniques.
Assessment:
CA1 and CA2: MCQs (30% each).
CA3: Project (40%).
Total: 100%.
Teaching Method: The course utilizes lectures, expert interviews, tutorials, and peer discussions to enhance learning.
Readings:
Primary: ""Thermal Methods"" by James W. Dodd, Kenneth H. Tonge, and ""Introduction to Surface Analysis by Electron Spectroscopy"" by John F. Watts.
Supplementary: Works by Peter J Haines and John Watts, John Wolstenholme.
Scheduled for AY 2018/19 Semester 1, this course is designed for students interested in the advanced physical characterization of materials, combining theoretical knowledge with practical laboratory skills.
MS7320: Physical Analysis of Materials, coordinated by AP Oh Joo Tien, is a 2AU course dedicated to the physical characterization of materials, emphasizing thermal analysis and surface analysis techniques.
Aims and Objectives:
Introduce advanced characterization techniques for analyzing thermal and surface properties of materials.
Enable students to select and evaluate physical characterization techniques for material performance investigation.
Guide students in developing laboratory facilities for thermal and surface analysis.
Course Syllabus:
Module 1: Thermal Analysis of Materials: Covers thermal analysis principles, thermogravimetry, differential thermal analysis (DTA), differential scanning calorimetry (DSC), and applications.
Module 2: Surface Analysis of Materials: Focuses on X-ray Photoelectron Spectroscopy (XPS), Auger Electron Spectroscopy (AES), and other surface analysis techniques.
Assessment:
CA1 and CA2: MCQs (30% each).
CA3: Project (40%).
Total: 100%.
Teaching Method: The course utilizes lectures, expert interviews, tutorials, and peer discussions to enhance learning.
Readings:
Primary: ""Thermal Methods"" by James W. Dodd, Kenneth H. Tonge, and ""Introduction to Surface Analysis by Electron Spectroscopy"" by John F. Watts.
Supplementary: Works by Peter J Haines and John Watts, John Wolstenholme.
Scheduled for AY 2018/19 Semester 1, this course is designed for students interested in the advanced physical characterization of materials, combining theoretical knowledge with practical laboratory skills.
MS7320: Physical Analysis of Materials, coordinated by AP Oh Joo Tien, is a 2AU course dedicated to the physical characterization of materials, emphasizing thermal analysis and surface analysis techniques.
Aims and Objectives:
Introduce advanced characterization techniques for analyzing thermal and surface properties of materials.
Enable students to select and evaluate physical characterization techniques for material performance investigation.
Guide students in developing laboratory facilities for thermal and surface analysis.
Course Syllabus:
Module 1: Thermal Analysis of Materials: Covers thermal analysis principles, thermogravimetry, differential thermal analysis (DTA), differential scanning calorimetry (DSC), and applications.
Module 2: Surface Analysis of Materials: Focuses on X-ray Photoelectron Spectroscopy (XPS), Auger Electron Spectroscopy (AES), and other surface analysis techniques.
Assessment:
CA1 and CA2: MCQs (30% each).
CA3: Project (40%).
Total: 100%.
Teaching Method: The course utilizes lectures, expert interviews, tutorials, and peer discussions to enhance learning.
Readings:
Primary: ""Thermal Methods"" by James W. Dodd, Kenneth H. Tonge, and ""Introduction to Surface Analysis by Electron Spectroscopy"" by John F. Watts.
Supplementary: Works by Peter J Haines and John Watts, John Wolstenholme.
Scheduled for AY 2018/19 Semester 1, this course is designed for students interested in the advanced physical characterization of materials, combining theoretical knowledge with practical laboratory skills.
",4.3239,2.9864,"surface analysis, thermal analysis, material performance, Spectroscopic techniques",polymeric materials, electrical properties, interdisciplinary,0.6613,0.6521,0.6514
9,MS7330,Electron Microscopy of Materials,"MS7330: Electron Microscopy of Materials, taught by Assoc. Prof. Dong Zhili and Dr. Chris Boothroyd, is a course designed to provide an in-depth understanding of advanced electron microscopy techniques. This course is especially relevant in light of recent developments in electron microscopy and the availability of state-of-the-art equipment in Singapore universities.
Aims and Objectives:
Equip students with a deep understanding of analytical electron microscopy tools.
Prepare students for PhD studies requiring nanomaterials characterization using electron microscopy.
Enable students to understand the complementary roles of various electron microscopy techniques in solving industrial problems.
Course Syllabus:
Module 1: Covers the fundamentals of electron microscopy, including its history, instrumentation, contrast formation, and electron diffraction in TEM (Transmission Electron Microscopy).
Module 2: Focuses on advanced characterization methods like TEM-EDX (Energy-dispersive X-ray spectroscopy), TEM-EELS (Electron Energy Loss Spectroscopy), HRTEM (High-Resolution Transmission Electron Microscopy), Scanning Electron Microscopy, and HR-STEM (High-Resolution Scanning Transmission Electron Microscopy), along with acquisition and analysis software and image simulations.
Assessment:
Assignments and exams for both modules, with a mix of individual assignments, exams, and online MCQs, totaling 100%.
Class Details:
Contact Hours/Academic Units: 52 hours / 4 AUs.
Scheduled for Semester 1, AY 2020-21.
Class size limited to 20 students.
The course is crucial for students who wish to specialize in materials characterization, particularly through the use of electron microscopy, blending theoretical knowledge with practical applications.

",3.8715,3.7428,"electron microscopy, nanomaterial characterization, analytical tools",nanomaterial characterization, interdisciplinary, electron microscopy,0.9811,0.9717,0.9686
